Cell,BBA_ID,eLists,eHours,eKM,eHA,eNumObs,eCount
1663,53C72,0,0,0,0,0,0
1664,42C12,0,0,0,0,0,0
1665,53C71,1,2.33,2.414,0,2,0
1666,42C21,0,0,0,0,0,0
1667,53C62,0,0,0,0,0,0
1668,42C22,0,0,0,0,0,0
1669,53C61,0,0,0,0,0,0
1670,42C31,0,0,0,0,0,0
1671,53C52,0,0,0,0,0,0
1672,42C32,0,0,0,0,0,0
1673,53C51,0,0,0,0,0,0
1674,42C41,0,0,0,0,0,0
1675,53C42,0,0,0,0,0,0
1676,43C42,2,3,14.484,0,2,0
1677,52C41,2,1.58,6.438,0,2,0
1678,43C51,9,1.8,8.047,0,9,0
1679,52C32,2,0.72,0.402,0,4,0
1680,43C52,8,0.8,0,0,8,0
1681,52C31,5,8,0,182.1087,0,0
1682,43C61,8,0.8,0,0,8,0
1683,52C22,0,0,0,0,0,0
1684,43C62,0,0,0,0,0,0
1685,52C21,0,0,0,0,0,0
1686,43C71,1,0.25,3.219,0,1,0
1687,52C12,0,0,0,0,0,0
1688,43C72,0,0,0,0,0,0
1689,52C11,0,0,0,0,0,0
1690,44C11,0,0,0,0,0,0
1691,51C72,0,0,0,0,0,0
1692,44C12,8,0.8,0,0,8,0
1693,51C71,0,0,0,0,0,0
1694,44C21,0,0,0,0,0,0
1695,51C62,0,0,0,0,0,0
1696,44C22,8,0.8,0,0,8,0
1697,51C61,0,0,0,0,0,0
1698,44C31,2,4,22.53,0,2,0
1699,51C52,0,0,0,0,0,0
1700,44C32,2,24,0,0,2,0
1701,51C51,0,0,0,0,0,0
1702,44C41,0,0,0,0,0,0
1703,51C42,0,0,0,0,0,0
1704,45C42,1,0.5,3.219,0,1,0
1705,50C41,0,0,0,0,0,0
1706,45C51,0,0,0,0,0,0
1707,50C32,0,0,0,0,0,0
1708,45C52,0,0,0,0,0,0
1709,50C31,0,0,0,0,0,0
1710,45C61,0,0,0,0,0,0
1711,50C22,0,0,0,0,0,0
1712,45C62,0,0,0,0,0,0
1713,50C21,2,1,0.805,0,2,0
1714,45C71,0,0,0,0,0,0
1715,50C12,0,0,0,0,0,0
1716,45C72,0,0,0,0,0,0
1717,50C11,0,0,0,0,0,0
1718,46C11,0,0,0,0,0,0
1719,49C72,0,0,0,0,0,0
1720,46C12,0,0,0,0,0,0
1721,49C71,0,0,0,0,0,0
1722,46C21,6,0.6,0,0,6,1
1723,49C62,0,0,0,0,0,0
1724,55C53,0,0,0,0,0,0
1725,46C22,7,0.7,0,0,7,2
1726,49C61,2,0.6,0,1.2141,4,0
1727,46C31,0,0,0,0,0,0
1728,49C52,0,0,0,0,0,0
1729,46C32,2,4,0,0,2,0
1730,49C51,8,0.8,0,0,8,5
1731,46C41,0,0,0,0,0,0
1732,49C42,8,0.8,0,0,8,7
1733,47C42,0,0,0,0,0,0
1734,48C41,1,3,3.219,0,2,2
1735,47C51,0,0,0,0,0,0
1736,48C32,0,0,0,0,0,0
1737,55C44,7,9.75,20.922,0,10,0
1738,47C52,0,0,0,0,0,0
1739,48C31,3,7.5,4.827,0,3,0
1740,47C61,0,0,0,0,0,0
1741,48C22,6,10.5,4.83,0,6,6
1742,47C62,0,0,0,0,0,0
1743,48C21,0,0,0,0,0,0
1744,47C71,0,0,0,0,0,0
1745,48C12,0,0,0,0,0,0
1746,47C72,0,0,0,0,0,0
1747,48C11,0,0,0,0,0,0
1748,54C43,0,0,0,0,0,0
1749,54C34,0,0,0,0,0,0
1750,54C33,0,0,0,0,0,0
1751,54C24,0,0,0,0,0,0
1752,54C23,0,0,0,0,0,0
1753,54C14,0,0,0,0,0,0
1754,54C13,0,0,0,0,0,0
1755,53C74,1,1.08,4.828,0,2,1
1756,42C14,0,0,0,0,0,0
1757,53C73,2,13,22.53,0,2,0
1758,42C23,0,0,0,0,0,0
1759,53C64,0,0,0,0,0,0
1760,42C24,0,0,0,0,0,0
1761,53C63,0,0,0,0,0,0
1762,42C33,0,0,0,0,0,0
1763,53C54,0,0,0,0,0,0
1764,42C34,0,0,0,0,0,0
1765,53C53,0,0,0,0,0,0
1766,42C43,0,0,0,0,0,0
1767,53C44,0,0,0,0,0,0
1768,43C44,0,0,0,0,0,0
1769,52C43,0,0,0,0,0,0
1770,43C53,2,2,9.656,0,2,0
1771,52C34,0,0,0,0,0,0
1772,43C54,9,1.8,6.437,0,9,0
1773,52C33,0,0,0,0,0,0
1774,43C63,11,6.3,24.14,0,12,0
1775,52C24,0,0,0,0,0,0
1776,43C64,8,0.8,0,0,8,0
1777,52C23,0,0,0,0,0,0
1778,43C73,0,0,0,0,0,0
1779,52C14,0,0,0,0,0,0
1780,43C74,0,0,0,0,0,0
1781,52C13,0,0,0,0,0,0
1782,44C13,1,0.5,3.219,0,1,0
1783,51C74,0,0,0,0,0,0
1784,44C14,1,0.5,3.219,0,1,0
1785,51C73,0,0,0,0,0,0
1786,44C23,15,1.5,0,0,15,0
1787,51C64,0,0,0,0,0,0
1788,44C24,0,0,0,0,0,0
1789,51C63,0,0,0,0,0,0
1790,44C33,0,0,0,0,0,0
1791,51C54,0,0,0,0,0,0
1792,44C34,2,3.5,3.219,0,1,0
1793,51C53,0,0,0,0,0,0
1794,44C43,0,0,0,0,0,0
1795,51C44,0,0,0,0,0,0
1796,45C44,0,0,0,0,0,0
1797,50C43,1,0.08,0,40.4686,1,0
1798,45C53,0,0,0,0,0,0
1799,50C34,0,0,0,0,0,0
1800,45C54,1,0.25,3.219,0,1,0
1801,50C33,0,0,0,0,0,0
1802,45C63,0,0,0,0,0,0
1803,50C24,0,0,0,0,0,0
1804,45C64,0,0,0,0,0,0
1805,50C23,0,0,0,0,0,0
1806,45C73,0,0,0,0,0,0
1807,50C14,0,0,0,0,0,0
1808,45C74,0,0,0,0,0,0
1809,50C13,0,0,0,0,0,0
1810,46C13,0,0,0,0,0,0
1811,49C74,0,0,0,0,0,0
1812,46C14,5,0.5,0,0,5,0
1813,49C73,0,0,0,0,0,0
1814,46C23,7,0.7,0,0,7,0
1815,49C64,0,0,0,0,0,0
1816,46C24,8,0.8,0,0,8,0
1817,49C63,0,0,0,0,0,0
1818,46C33,6,0.6,0,0,6,0
1819,49C54,1,0.67,0,0,2,0
1820,46C34,1,0.08,0,0,6,0
1821,49C53,0,0,0,0,0,0
1822,46C43,0,0,0,0,0,0
1823,49C44,9,2.22,2.414,0,9,0
1824,47C44,1,0.33,0,0,1,0
1825,48C43,1,1.17,4.023,0,0,0
1826,55C46,1,0.58,0,1.6187,0,2
1827,47C53,0,0,0,0,0,0
1828,48C34,0,0,0,0,0,0
1829,47C54,0,0,0,0,0,0
1830,48C33,0,0,0,0,0,0
1831,47C63,0,0,0,0,0,0
1832,48C24,0,0,0,0,0,0
1833,47C64,0,0,0,0,0,0
1834,48C23,2,0.1,0,0,2,0
1835,47C73,0,0,0,0,0,0
1836,48C14,0,0,0,0,0,0
1837,47C74,0,0,0,0,0,0
1838,48C13,0,0,0,0,0,0
1839,54C45,0,0,0,0,0,0
1840,54C36,0,0,0,0,0,0
1841,54C35,0,0,0,0,0,0
1842,54C26,0,0,0,0,0,0
1843,54C25,0,0,0,0,0,0
1844,54C16,0,0,0,0,0,0
1845,54C15,0,0,0,0,0,0
1846,53C76,0,0,0,0,0,0
1847,42C16,0,0,0,0,0,0
1848,53C75,0,0,0,0,0,0
1849,42C25,0,0,0,0,0,0
1850,53C66,1,2,3.219,0,2,0
1851,42C26,0,0,0,0,0,0
1852,53C65,0,0,0,0,0,0
1853,42C35,0,0,0,0,0,0
1854,53C56,0,0,0,0,0,0
1855,42C36,0,0,0,0,0,0
1856,53C55,0,0,0,0,0,0
1857,42C45,1,0.5,3.219,0,1,0
1858,53C46,0,0,0,0,0,0
1859,43C46,8,0.8,0,0,8,0
1860,52C45,0,0,0,0,0,0
1861,43C55,0,0,0,0,0,0
1862,52C36,0,0,0,0,0,0
1863,43C56,0,0,0,0,0,0
1864,52C35,1,2.5,1.609,0,1,0
1865,43C65,10,2.3,12.875,0,10,0
1866,52C26,0,0,0,0,0,0
1867,43C66,8,0.8,0,0,8,0
1868,52C25,0,0,0,0,0,0
1869,43C75,1,0.5,3.219,0,1,0
1870,52C16,0,0,0,0,0,0
1871,43C76,0,0,0,0,0,0
1872,52C15,0,0,0,0,0,0
1873,44C15,2,1,6.438,0,2,0
1874,51C76,0,0,0,0,0,0
1875,44C16,1,0.5,0,0,1,0
1876,51C75,0,0,0,0,0,0
1877,44C25,2,3.25,24.14,0,2,0
1878,51C66,0,0,0,0,0,0
1879,44C26,20,48.17,127.536,84.9841,41,0
1880,51C65,0,0,0,0,0,0
1881,44C35,13,38.16,1.609,256.3899,1,0
