"","Lon1","Lat1","Centroid_ID","rn","nearest_in_grid2","nearest_in_grid3","nearest_in_grid4"
"346",-78.15625,39.77083333,346,346,97,7,4
"347",-78.15625,39.72916667,347,347,100,7,4
"348",-78.21875,39.72916667,348,348,100,7,4
"349",-78.03125,39.8125,349,349,101,7,4
"350",-78.09375,39.77083333,350,350,101,7,4
"351",-78.09375,39.8125,351,351,101,7,4
"352",-78.03125,39.77083333,352,352,101,7,4
"353",-78.46875,39.72916667,353,353,99,7,4
"354",-78.59375,39.89583333,354,354,102,8,4
"355",-78.65625,39.89583333,355,355,103,8,4
"356",-78.53125,39.85416667,356,356,102,8,4
"357",-78.71875,39.85416667,357,357,103,8,4
"358",-78.53125,39.89583333,358,358,102,8,4
"359",-78.59375,39.85416667,359,359,102,8,4
"360",-78.71875,39.89583333,360,360,103,8,4
"361",-78.78125,39.97916667,361,361,104,8,4
"362",-78.84375,39.9375,362,362,104,8,4
"363",-78.84375,39.97916667,363,363,104,8,4
"364",-78.78125,39.9375,364,364,104,8,4
"365",-78.84375,39.85416667,365,365,105,8,4
"366",-78.84375,39.89583333,366,366,105,8,4
"367",-78.78125,39.85416667,367,367,105,8,4
"368",-78.78125,39.89583333,368,368,105,8,4
"369",-78.96875,39.85416667,369,369,106,8,4
"370",-78.90625,39.89583333,370,370,106,8,4
"371",-78.65625,39.85416667,371,371,103,8,4
"372",-78.53125,39.9375,372,372,107,8,4
"373",-78.53125,39.97916667,373,373,107,8,4
"374",-78.59375,39.9375,374,374,107,8,4
"375",-78.65625,39.9375,375,375,108,8,4
"376",-78.65625,39.97916667,376,376,108,8,4
"377",-78.71875,39.97916667,377,377,108,8,4
"378",-78.71875,39.9375,378,378,108,8,4
"379",-78.59375,39.97916667,379,379,107,8,4
"380",-78.59375,39.77083333,380,380,109,8,4
"381",-78.53125,39.77083333,381,381,109,8,4
"382",-78.59375,39.8125,382,382,109,8,4
"383",-78.65625,39.8125,383,383,110,8,4
"384",-78.53125,39.8125,384,384,109,8,4
"385",-78.71875,39.8125,385,385,110,8,4
"386",-78.71875,39.77083333,386,386,110,8,4
"387",-78.59375,39.72916667,387,387,111,8,4
"388",-78.53125,39.72916667,388,388,111,8,4
"389",-78.71875,39.72916667,389,389,112,8,4
"390",-78.65625,39.72916667,390,390,112,8,4
"391",-78.65625,39.77083333,391,391,110,8,4
"392",-78.90625,39.77083333,392,392,113,8,4
