"","BBA_ID","Lat1","Lon1","Forest1","Elev1","Lat2","Lon2","Forest2","Elev2","Lat3","Lon3","Forest3","Elev3","Lat4","Lon4","Forest4","Elev4","Centroid_ID","nearest_block_BBA_ID","Cell","eLists","eHours","eKM","eHA","eNumObs","eCount","total.eLists","total.eHours","total.eNumObs","total.eCount"
"64","91A62",39.97916667,-77.28125,0.359818157,284.0533009,39.95833333,-77.3125,0.45850763,295.0174094,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,64,64,4408,0,0,0,0,0,0,0.25,0.075,0.5,0
"65","91A53",39.9375,-77.46875,0.819983036,474.1787949,39.95833333,-77.4375,0.546443745,491.3760901,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,65,65,4501,1,6.5,0,0,1,0,1,2.23,2.75,0
"66","91B62",39.85416667,-77.28125,0.724540731,175.5849705,39.875,-77.3125,0.532156795,205.0292931,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,66,66,4668,0,0,0,0,0,0,0.25,0.125,0.25,0
"67","91A55",39.89583333,-77.46875,0.826190234,382.7726898,39.875,-77.4375,0.526381354,394.0483246,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,67,67,4588,5,13.33,10.461,0,7,0,1.75,3.665,2.25,0
"68","91A74",39.9375,-77.15625,0.23907359,180.3533726,39.95833333,-77.1875,0.506130919,194.1251975,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,68,68,4491,5,0.25,0,0,5,0,4.5,0.225,4.5,0
"69","92A15",39.89583333,-77.09375,0.300083822,158.4610615,39.875,-77.0625,0.591640107,163.5234455,39.83333333,-77.25,0.566047853,240.3793925,39.66666667,-77.5,0.53354837,236.3119854,69,69,4576,9,0.45,0,0,9,0,7,2.0625,7.25,0
"70","90C12",39.72916667,-77.90625,0.505597774,227.448199,39.70833333,-77.9375,0.63465099,227.448199,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,70,70,4924,6,0.6,0,0,6,0,3.5,0.35,3.5,0
"71","90B13",39.8125,-77.96875,0.258354538,205.968811,39.79166667,-77.9375,0.467883219,190.5323612,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,71,71,4771,7,0.7,0,0,7,0,3.25,0.325,3.25,0
"72","90B23",39.8125,-77.84375,0.299372136,166.646419,39.79166667,-77.8125,0.401231919,165.0603169,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,72,72,4767,0,0,0,0,0,0,0,0,0,0
"73","90A45",39.89583333,-77.59375,0.785510689,236.1239907,39.875,-77.5625,0.608181236,282.1836185,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,73,73,4592,0,0,0,0,0,0,4.5,1.025,5,0
"74","90B32",39.85416667,-77.65625,0.583245647,240.7541142,39.875,-77.6875,0.551704484,210.7439274,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,74,74,4680,0,0,0,0,0,0,2,0.2,2,0
"75","90C41",39.72916667,-77.59375,0.961026616,189.1476898,39.70833333,-77.5625,0.578131551,212.7371114,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,75,75,4914,4,0.4,0,0,4,0,3,0.3,3,0
"76","91B44",39.8125,-77.53125,0.246470748,426.9541495,39.79166667,-77.5625,0.65351142,277.8804484,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,76,76,4757,0,0,0,0,0,0,2,0.2,2,0
"77","90B36",39.77083333,-77.65625,0.534041182,223.6333981,39.79166667,-77.6875,0.339245905,208.0639994,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,77,77,4839,0,0,0,0,0,0,22,7.1075,22,0
"78","90C31",39.72916667,-77.71875,0.919389313,198.9689178,39.70833333,-77.6875,0.721228682,197.1502914,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,78,78,4918,3,0.3,0,0,3,0,3,0.3,3,0
"79","90C22",39.72916667,-77.78125,0.263420428,155.6496124,39.70833333,-77.8125,0.548490013,158.5781632,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,79,79,4920,2,0.2,0,0,2,0,2.5,0.25,2.5,0
"80","91A42",39.97916667,-77.53125,0.349772588,277.6466942,39.95833333,-77.5625,0.589205244,258.2096642,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,80,80,4416,0,0,0,0,0,0,0.25,0.105,0.25,0
"81","90B12",39.85416667,-77.90625,0.740973259,189.0727749,39.875,-77.9375,0.523847009,256.4813248,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,81,81,4688,7,0.7,0,0,7,0,5.5,0.55,5.5,0
"82","90A31",39.97916667,-77.71875,0.756109023,194.1779861,39.95833333,-77.6875,0.530324072,203.4158491,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,82,82,4422,5,7.91,7.565,0,10,0,2,3.6025,3.5,0
"83","90A26",39.89583333,-77.78125,0.136348215,177.8925362,39.875,-77.8125,0.279033891,180.0752331,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,83,83,4598,0,0,0,0,0,0,5.75,0.575,5.75,0
"84","90A21",39.97916667,-77.84375,0.489223041,414.8150722,39.95833333,-77.8125,0.33265693,271.8618524,39.83333333,-77.75,0.501048887,232.1706254,39.66666667,-77.5,0.53354837,236.3119854,84,84,4426,0,0,0,0,0,0,0.75,0.21,1.25,0
